country,store_count,unique_cities,avg_nn_km,median_nn_km,store_per_city,store_count_z,median_nn_norm,opportunity_score,opportunity_rank
AD,1,1,122.48696080952888,122.48696080952888,1.0,-0.21819439625609152,1.0,0.5309166377536549,1
TT,3,3,22.026854466934058,19.51880501243325,1.0,-0.21692894849834982,0.15935414580810453,0.19389902742225168,2
ZA,3,3,20.941871610120504,16.057037416107306,1.0,-0.21692894849834982,0.13109181018113847,0.18259409317146527,3
LU,2,2,11.926696804617377,11.926696804617377,1.0,-0.21756167237722068,0.09737115465836212,0.16948546528967726,4
BN,5,4,16.21009768181272,12.01375737465242,1.25,-0.21566350074060814,0.09808192884575032,0.168630871982665,5
NZ,24,12,48.61832688555965,9.229283867800989,2.0,-0.20364174704206206,0.07534911313664495,0.15232469347989522,6
MA,9,3,6.589558543827607,5.79176420691203,3.0,-0.21313260522512475,0.047284740911470634,0.1467934594996631,7
PA,5,2,3.6608197646576173,4.924195054498085,2.5,-0.21566350074060814,0.04020178982279889,0.14547881637348442,8
PT,11,7,26.519708129682446,4.478914649193419,1.5714285714285714,-0.21186715746738305,0.036566460785636384,0.1417468787946844,9
BG,5,2,39.18690687037449,3.3358477993365545,2.5,-0.21566350074060814,0.02723430949130907,0.14029182424088849,10
GT,7,3,6.09118235599523,3.094637596225929,2.3333333333333335,-0.21439805298286643,0.025265036994739292,0.13874484658761557,11
KH,4,1,3.0020602034312778,2.334979052904498,4.0,-0.21629622461947898,0.019063082612813493,0.13740296781681277,12
KZ,8,3,2.0269233838295597,2.383210950662168,2.6666666666666665,-0.2137653291039956,0.019456854304419693,0.13604193918416524,13
MC,2,1,1.371836841621518,1.371836841621518,2.0,-0.21756167237722068,0.011199860234549929,0.13501694752015236,14
CY,10,5,10.763523587075806,2.28474552618117,2.0,-0.21249988134625392,0.018652969353480996,0.13496111654914475,15
AZ,4,2,24.43502346117472,1.5354710034090946,2.0,-0.21629622461947898,0.012535791510059596,0.13479205137571124,16
FI,8,3,2.9180517199638345,1.9670682011947147,2.6666666666666665,-0.2137653291039956,0.01605940900316376,0.13468296106366287,17
SK,3,1,2.5498463329831615,1.3368354570877634,3.0,-0.21692894849834982,0.010914104229972568,0.1345230107909989,18
CR,11,5,5.79586916331257,2.1907164183107217,2.2,-0.21186715746738305,0.017885303087218855,0.13427441571531737,19
OM,12,2,8.705372196493327,2.2533379674855896,6.0,-0.2112344335885122,0.01839655382575458,0.13409928168340915,20
BO,4,1,2.1841984410476423,1.0590158106542082,4.0,-0.21629622461947898,0.00864594732088268,0.13323611370004046,21
SV,11,5,5.615254457245559,1.550405149526056,2.2,-0.21186715746738305,0.01265771588485231,0.13218338083437076,22
QA,18,3,2.2086585807061265,2.260922897318748,6.0,-0.20743809031528712,0.018458478211689448,0.13184624547384804,23
BS,10,1,1.8282943661350948,1.30607815631992,10.0,-0.21249988134625392,0.0106629974953082,0.13176512780587563,24
NO,17,9,14.493398078688474,2.007741404231997,1.8888888888888888,-0.208070814194158,0.01639147049581954,0.13139907671482262,25
CO,11,6,22.664761739558426,1.1119492664456065,1.8333333333333333,-0.21186715746738305,0.009078103163770411,0.130751535745938,26
CW,3,1,1.6282015896633872,0.0,3.0,-0.21692894849834982,0.0,0.13015736909900988,27
AW,3,2,1.8532487774093147,0.0,1.5,-0.21692894849834982,0.0,0.13015736909900988,28
JO,17,3,5.188403142675093,1.4581287384616914,5.666666666666667,-0.208070814194158,0.01190435887073015,0.12960423206478686,29
PR,23,9,7.098354637828367,2.1097133864074937,2.5555555555555554,-0.2042744709209329,0.01722398345476271,0.12945427593446482,30
BE,19,9,8.658614051663074,1.3928982176589217,2.111111111111111,-0.20680536643641628,0.011371808137397766,0.12863194311680887,31
